time,col1,col2
2016-05-22,0.609278445,0.610204656
2016-05-23,0.59912889,0.598037496
2016-05-24,0.58620022,0.583103873
2016-05-25,0.570042257,0.565644009
2016-05-26,0.548802416,0.54625272
2016-05-27,0.524256833,0.524904677
2016-05-28,0.496792119,0.501785368
2016-05-29,0.467007317,0.477097145
2016-05-30,0.436029903,0.450845184
2016-05-31,0.403758948,0.423360823
2016-06-01,0.37195577,0.394153331
2016-06-02,0.340675969,0.363614005
2016-06-03,0.309341552,0.332052962
2016-06-04,0.277394571,0.300085411
2016-06-05,0.244827139,0.267843582
2016-06-06,0.211981479,0.235737227
2016-06-07,0.179199408,0.203589986
2016-06-08,0.146109002,0.171601729
2016-06-09,0.113112954,0.140007435
2016-06-10,0.081078886,0.109376247
2016-06-11,0.049891223,0.080114422
2016-06-12,0.020574124,0.052194907
2016-06-13,-0.007035682,0.02563455
2016-06-14,-0.031156054,0.000821011
2016-06-15,-0.052735772,-0.021815572
2016-06-16,-0.071946479,-0.041737242
2016-06-17,-0.088882344,-0.059194252
2016-06-18,-0.102605719,-0.073961657
2016-06-19,-0.113222193,-0.086056508
2016-06-20,-0.120602803,-0.095807228
2016-06-21,-0.125259563,-0.103021124
2016-06-22,-0.128039165,-0.107230824
2016-06-23,-0.127263361,-0.108474791
2016-06-24,-0.122886389,-0.106694992
2016-06-25,-0.114416192,-0.101865124
2016-06-26,-0.103046021,-0.094644468
2016-06-27,-0.0882923,-0.084327034
2016-06-28,-0.071166161,-0.071479398
2016-06-29,-0.051776964,-0.0556234
2016-06-30,-0.029056529,-0.037056107
2016-07-01,-0.004473227,-0.016205466
2016-07-02,0.022318795,0.006241571
2016-07-03,0.05202668,0.030817865
2016-07-04,0.082187533,0.056542049
2016-07-05,0.112219143,0.083137685
2016-07-06,0.14639138,0.110540937
2016-07-07,0.173504909,0.138673744
2016-07-08,0.203470045,0.166244375
2016-07-09,0.231161561,0.194605746
2016-07-10,0.26044395,0.222109245
2016-07-11,0.288058414,0.249514024
2016-07-12,0.313329207,0.275452914
2016-07-13,0.33763059,0.300827999
2016-07-14,0.360955759,0.32430019
2016-07-15,0.382567193,0.346055379
2016-07-16,0.40196691,0.366194349
2016-07-17,0.418809774,0.383732566
2016-07-18,0.433306813,0.398935147
2016-07-19,0.44491009,0.411654539
2016-07-20,0.453153307,0.421256471
2016-07-21,0.458126949,0.428077948
2016-07-22,0.458790407,0.431944548
2016-07-23,0.455900231,0.432930877
2016-07-24,0.449364239,0.430524415
2016-07-25,0.439490624,0.424753686
2016-07-26,0.425507168,0.415542789
2016-07-27,0.409397264,0.403275086
2016-07-28,0.391606605,0.387755296
2016-07-29,0.369681732,0.369408079
2016-07-30,0.348908318,0.348037512
2016-07-31,0.319797553,0.324069764
2016-08-01,0.293489209,0.297513025
2016-08-02,0.262189045,0.26887129
2016-08-03,0.230524791,0.237316178
2016-08-04,0.195142693,0.204030198
2016-08-05,0.15783987,0.168868089
2016-08-06,0.119399313,0.132217122
2016-08-07,0.078904942,0.094299997
2016-08-08,0.036436924,0.0550473
2016-08-09,-0.007915376,0.015183109
2016-08-10,-0.053017591,-0.02581131
2016-08-11,-0.097695762,-0.067384886
2016-08-12,-0.142404206,-0.109515501
2016-08-13,-0.187284389,-0.152999974
2016-08-14,-0.232481477,-0.19746619
2016-08-15,-0.277405924,-0.242227863
2016-08-16,-0.322901094,-0.286854769
2016-08-17,-0.367479921,-0.330928438
2016-08-18,-0.410526944,-0.373620128
2016-08-19,-0.452328868,-0.414876716
2016-08-20,-0.491315316,-0.454127174
2016-08-21,-0.527559011,-0.491059711
2016-08-22,-0.5615008,-0.525425135
2016-08-23,-0.592349418,-0.55685198
2016-08-24,-0.620251605,-0.585140814
2016-08-25,-0.644829161,-0.610301531
2016-08-26,-0.666137296,-0.632089562
2016-08-27,-0.68371629,-0.65052874
2016-08-28,-0.697913532,-0.665677561
2016-08-29,-0.708372555,-0.677418394
2016-08-30,-0.715172377,-0.685849684
2016-08-31,-0.718608276,-0.690842913
2016-09-01,-0.716905251,-0.691936201
2016-09-02,-0.71116391,-0.68960775
2016-09-03,-0.700551265,-0.683151338
2016-09-04,-0.685090567,-0.673009085
2016-09-05,-0.665698175,-0.65931802
2016-09-06,-0.643162964,-0.641180915
2016-09-07,-0.61661846,-0.619625625
2016-09-08,-0.586924783,-0.593673867
2016-09-09,-0.553002308,-0.564558341
2016-09-10,-0.516021809,-0.530842036
2016-09-11,-0.476311564,-0.494928702
2016-09-12,-0.43410301,-0.456210324
2016-09-13,-0.389691885,-0.414631443
2016-09-14,-0.341150966,-0.371044175
2016-09-15,-0.295979829,-0.326603596
2016-09-16,-0.238262389,-0.280469579
2016-09-17,-0.184491132,-0.233027754
2016-09-18,-0.13766075,-0.185217465
2016-09-19,-0.086758595,-0.135790197
2016-09-20,-0.038401517,-0.086371381
2016-09-21,0.013923555,-0.03486592
2016-09-22,0.067201355,0.016076991
2016-09-23,0.115224209,0.066108672
2016-09-24,0.165030854,0.115141758
2016-09-25,0.21421097,0.162744528
2016-09-26,0.263558117,0.208248886
2016-09-27,0.308938951,0.252257977
2016-09-28,0.348503819,0.294933761
2016-09-29,0.385164981,0.335287008
2016-09-30,0.421972412,0.373119595
2016-10-01,0.455151961,0.407961937
2016-10-02,0.485330442,0.439597944
2016-10-03,0.512213467,0.468143746
2016-10-04,0.537716538,0.494471902
2016-10-05,0.560627455,0.516841561
2016-10-06,0.579267867,0.535491449
2016-10-07,0.595182233,0.551747959
2016-10-08,0.607455393,0.564408899
2016-10-09,0.615309875,0.574789163
2016-10-10,0.617662227,0.583150188
2016-10-11,0.619201304,0.588619253
2016-10-12,0.617509182,0.591878389
2016-10-13,0.613131948,0.591875473
2016-10-14,0.604993649,0.588318357
2016-10-15,0.595664759,0.581466273
2016-10-16,0.583515394,0.571553076
2016-10-17,0.570630953,0.558542463
2016-10-18,0.554617777,0.542741987
2016-10-19,0.534641674,0.524590958
2016-10-20,0.51036225,0.504385996
2016-10-21,0.484011017,0.481983812
2016-10-22,0.45471838,0.457916223
2016-10-23,0.422804792,0.431930607
2016-10-24,0.395174457,0.40457102
2016-10-25,0.357785669,0.375077469
2016-10-26,0.32982927,0.344548293
2016-10-27,0.297109442,0.312865619
2016-10-28,0.26537504,0.280713411
2016-10-29,0.231948907,0.2481853
2016-10-30,0.198119486,0.215707164
2016-10-31,0.16499225,0.183732384
2016-11-01,0.131303215,0.151845018
2016-11-02,0.097710093,0.120459039
2016-11-03,0.065586005,0.08959878
2016-11-04,0.035866997,0.059844248
2016-11-05,0.007335838,0.032038375
2016-11-06,-0.019082234,0.005840495
2016-11-07,-0.042680101,-0.01859255
2016-11-08,-0.063530463,-0.040828059
2016-11-09,-0.080415459,-0.060505616
2016-11-10,-0.096281473,-0.077723049
2016-11-11,-0.110250083,-0.092556661
2016-11-12,-0.121578776,-0.105018077
2016-11-13,-0.13065421,-0.115373416
2016-11-14,-0.136836819,-0.123941144
2016-11-15,-0.141207516,-0.130542514
2016-11-16,-0.143763506,-0.135037895
2016-11-17,-0.143782175,-0.137306801
2016-11-18,-0.141767265,-0.136916714
2016-11-19,-0.134907288,-0.133988445
2016-11-20,-0.12615262,-0.128733288
2016-11-21,-0.113320907,-0.12013355
2016-11-22,-0.097998523,-0.109318182
2016-11-23,-0.079982689,-0.095581239
2016-11-24,-0.059793985,-0.079313205
2016-11-25,-0.037800396,-0.06071889
2016-11-26,-0.015058001,-0.040741254
2016-11-27,0.008658698,-0.019436408
2016-11-28,0.032596774,0.003139359
2016-11-29,0.057252595,0.025919384
2016-11-30,0.080724037,0.048939979
2016-12-01,0.104532155,0.072287954
2016-12-02,0.129516736,0.094925543
2016-12-03,0.150202253,0.116750402
2016-12-04,0.17292639,0.138172929
2016-12-05,0.192859997,0.158693746
2016-12-06,0.213945783,0.178176397
2016-12-07,0.232753444,0.196679905
2016-12-08,0.249471281,0.213897113
2016-12-09,0.265191478,0.22951672
2016-12-10,0.27839608,0.243264934
2016-12-11,0.290589156,0.255547243
2016-12-12,0.300584046,0.265833091
2016-12-13,0.307346258,0.274549704
2016-12-14,0.311369681,0.280894611
2016-12-15,0.312568208,0.285366966
2016-12-16,0.31142639,0.287189505
2016-12-17,0.307404293,0.286306418
2016-12-18,0.299923236,0.282624947
2016-12-19,0.289694756,0.276225148
2016-12-20,0.277773488,0.266744562
2016-12-21,0.263920419,0.254271501
2016-12-22,0.248316245,0.239237771
2016-12-23,0.230453184,0.22189232
2016-12-24,0.209988593,0.202847319
2016-12-25,0.188485208,0.182278818
2016-12-26,0.165134734,0.159793986
2016-12-27,0.141144602,0.136049477
2016-12-28,0.115191127,0.111310444
2016-12-29,0.088251481,0.085511836
2016-12-30,0.06037036,0.059103877
2016-12-31,0.031201025,0.032277867
2017-01-01,0.000658814,0.004680084
2017-01-02,-0.031327063,-0.023491506
2017-01-03,-0.063912876,-0.052242067
2017-01-04,-0.096962363,-0.081519577
2017-01-05,-0.130056825,-0.111679217
2017-01-06,-0.162848669,-0.142696074
2017-01-07,-0.19456311,-0.173939304
2017-01-08,-0.225378884,-0.205214457
2017-01-09,-0.255158351,-0.235898471
2017-01-10,-0.284560742,-0.265518759
2017-01-11,-0.313408414,-0.294076442
2017-01-12,-0.340854022,-0.321332065
2017-01-13,-0.367971564,-0.347292504
2017-01-14,-0.393928193,-0.372204229
2017-01-15,-0.418961319,-0.395742343
2017-01-16,-0.442347652,-0.417746839
2017-01-17,-0.464120266,-0.437886278
2017-01-18,-0.482218748,-0.455957041
2017-01-19,-0.497535282,-0.471830676
2017-01-20,-0.510057848,-0.48528456
2017-01-21,-0.519146868,-0.496207177
2017-01-22,-0.525064029,-0.504255148
2017-01-23,-0.527921679,-0.509437419
2017-01-24,-0.527627642,-0.511661302
2017-01-25,-0.523664916,-0.511163822
2017-01-26,-0.516738226,-0.507495635
2017-01-27,-0.506895755,-0.501071612
2017-01-28,-0.494237877,-0.491430146
2017-01-29,-0.479421524,-0.478718748
2017-01-30,-0.462327596,-0.462764116
2017-01-31,-0.441470804,-0.443530953
2017-02-01,-0.417999643,-0.421287961
2017-02-02,-0.391957799,-0.396342115
2017-02-03,-0.36231096,-0.369275844
2017-02-04,-0.329304941,-0.339876814
2017-02-05,-0.293596026,-0.308157177
2017-02-06,-0.255257616,-0.274967573
2017-02-07,-0.21631652,-0.240078229
2017-02-08,-0.177164424,-0.204138925
2017-02-09,-0.138059284,-0.167474895
2017-02-10,-0.098552428,-0.129975259
2017-02-11,-0.058873084,-0.091733065
2017-02-12,-0.019103012,-0.05317121
2017-02-13,0.020752135,-0.015706812
2017-02-14,0.055932948,0.022003202
2017-02-15,0.099933693,0.058323962
2017-02-16,0.133909006,0.094320086
2017-02-17,0.172701588,0.129998797
2017-02-18,0.207234837,0.165045907
2017-02-19,0.241579603,0.199889733
2017-02-20,0.274139907,0.233819514
2017-02-21,0.304530011,0.266704704
2017-02-22,0.335313808,0.297974778
2017-02-23,0.363429789,0.327621183
2017-02-24,0.390583755,0.355909133
2017-02-25,0.414518236,0.382086616
2017-02-26,0.437504515,0.406089616
2017-02-27,0.458860301,0.427472417
2017-02-28,0.477064248,0.44626251
2017-03-01,0.492095654,0.462400715
2017-03-02,0.502521658,0.475447392
2017-03-03,0.509675167,0.485955762
2017-03-04,0.513467499,0.493608753
2017-03-05,0.514978468,0.49835481
2017-03-06,0.513406241,0.500283213
2017-03-07,0.508663511,0.499213185
2017-03-08,0.504337174,0.496005421
2017-03-09,0.500093834,0.490803439
2017-03-10,0.494576767,0.484137513
2017-03-11,0.487472885,0.475922744
2017-03-12,0.478855915,0.466169685
2017-03-13,0.467828784,0.455405721
2017-03-14,0.454889797,0.443479294
2017-03-15,0.439254462,0.430233439
2017-03-16,0.421405417,0.415572793
2017-03-17,0.400766162,0.3993117
2017-03-18,0.378150124,0.38145407
2017-03-19,0.35438568,0.361882123
2017-03-20,0.327972936,0.340828055
2017-03-21,0.301601361,0.318065908
2017-03-22,0.273694065,0.293678419
