name (link),category,data type,reference,version,license
`grwl_mask <https://doi.org/10.5281/zenodo.1297434>`__,hydrography,RasterDataset,`Allen and Pavelsky (2018) <https://doi.org/10.1126/science.aat0636>`__,1.01,CC BY 4.0
`grwl_mask_v1.01 <https://doi.org/10.5281/zenodo.1297434>`__,hydrography,RasterDataset,`Allen and Pavelsky (2018) <https://doi.org/10.1126/science.aat0636>`__,1.01,CC BY 4.0
`gswo <https://global-surface-water.appspot.com/download>`__,hydrography,RasterDataset,`Pekel et al. (2016) <https://doi.org/10.1038/nature20584>`__,v1_1_2019,
`gswo_v2019 <https://global-surface-water.appspot.com/download>`__,hydrography,RasterDataset,`Pekel et al. (2016) <https://doi.org/10.1038/nature20584>`__,v1_1_2019,
`rivers_lin2019_v1 <https://zenodo.org/record/3552776#.YVbOrppByUk>`__,hydrography,GeoDataFrame,`Lin et al. (2019) <https://doi.org/10.5281/zenodo.3552776>`__,1,CC-BY-NC 4.0
